Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
Kennedy Bank and Trust Company,6410 Rockledge Drive,WEST BETHESDA,MD,20817,39.023896,-77.132651,
The Trego-WaKeeney State Bank,134 Main Street,WA KEENEY,KS,67672,39.024546,-99.884163, 
Trego-WaKeeney State Bank,134 Main Street,WA KEENEY,KS,67672,39.024546,-99.884163,
First Federal Savings and Loan Association of Wakeeney,229 Main Street,WA KEENEY,KS,67672,39.025863,-99.884234, 
First Federal Savings and Loan Association of Wake,229 Main Street,WA KEENEY,KS,67672,39.025863,-99.884234,
Freedom Bank  Inc.,315 Crim Avenue,BELINGTON,WV,26250,39.026094,-79.935105,http://www.freedombankwv.com/
Belington Bank,315 Crim Avenue,BELINGTON,WV,26250,39.026094,-79.935105,
Talmage State Bank,Main Street,TALMAGE,KS,67482,39.02623,-97.25992,
American Partners Bank,6903 Rockledge Drive  Suite 525,WEST BETHESDA,MD,20817,39.026407,-77.139179,http://www.apartnersbank.com
Fayette County Bank,320 North Main Street,SAINT ELMO,IL,62458,39.026514,-88.848648, 
Farmers Bank and Savings Company of Pomeroy  O,211 West Second Street,POMEROY,OH,45769,39.026671,-82.035549,
The Farmers Bank and Savings Company,211 West Second Street,POMEROY,OH,45769,39.026671,-82.035549,http://www.fbsc.com
Farmers and Mechanics Federal Savings and Loan Ass,225 East Main Street,BLOOMFIELD,IN,47424,39.026815,-86.935983,
Farmers and Mechanics Federal Savings and Loan Association,225 East Main Street,BLOOMFIELD,IN,47424,39.026815,-86.935983,http://www.farmersandmechanicsfederal.com
First National Bank of Shawnee Mission,4400 Shawnee Mission Parkway,MISSION,KS,66205,39.027076,-94.635674,
Bloomfield State Bank,48 North Washington Street,BLOOMFIELD,IN,47424,39.027299,-86.937321,http://www.bloombank.com
Citizens Savings Association,510 North Jefferson St,JUNCTION CITY,KS,66441,39.027429,-96.831502,
First State Bank,904 West 6th Street,JUNCTION CITY,KS,66441,39.028271,-96.845082,http://www.1sbjc.com
Farmers National Bank of Lincoln,100 West Lincoln,WESTFALL,KS,67455,39.02864456,-98.14042664,
Fairlawn Plazabank,5325 West 21st Street,TOPEKA,KS,66604,39.02925,-95.745358,
First National Bank and Trust Company of Junct,702 North Washington Street,JUNCTION CITY,KS,66441,39.029322,-96.82951,
The First National Bank and Trust Company of Junction City  Kansas,702 North Washington Street,JUNCTION CITY,KS,66441,39.029474,-96.829547,http://www.firstnational.cc
Central National Bank,802 North Washington Street,JUNCTION CITY,KS,66441,39.030545,-96.829576,http://www.centralnational.com
Brown County National Bank of Mt. Orab,452 West Main Street,MOUNT ORAB,OH,45154,39.030597,-83.933585,
The Bank of Kentucky  Inc.,111 Lookout Farm Drive,DIXIE,KY,41017,39.030698,-84.57431,http://www.bankofky.com
Peoples Bank of Northern Kentucky  Inc.,111 Lookout Farm Drive,DIXIE,KY,41017,39.030698,-84.57431,
Postal Savings and Loan Association,2011 Southwest Gage Boulevard,TOPEKA,KS,66604,39.031065,-95.724971,
Oak Hill Banks,120 Twin Oaks Drive,JACKSON,OH,45640,39.031816,-82.637233,
MidAmerican Bank and Trust Company,4700 West 50 Terrace,MISSION,KS,66205,39.03194427,-94.63180542,
Mission Hills Bank  National Association,State Line And Johnson Drive,MISSION,KS,66205,39.03194427,-94.63180542,
Midland Bank of Kansas,6300 Nall Avenue,MISSION,KS,66205,39.03194427,-94.63180542,
Victory Community Bank,2500 Chamber Center Drive  Suite 100,DIXIE,KY,41017,39.03237915,-84.5696106,http://www.victorycommunitybank.com
United Missouri Bank of Blue Springs,3500 South Outer Road,LAKE TAPAWINGO,MO,64015,39.033652,-94.304079,
Citizens' National Bank of Linton,89 West Vincennes Street,LINTON,IN,47441,39.034107,-87.165201,
Deposit Insurance National Bank of Kansas City,4800 Swope Parkway,KANSAS CITY,MO,64130,39.034664,-94.543465,
Swope Parkway National Bank,4900 Swope Parkway,KANSAS CITY,MO,64130,39.034766,-94.543476,
Valley State Bank,5115 Roe Boulevard,MISSION,KS,66205,39.035943,-94.639714,
Farmers State Bank of Calhan,458 Colorado Avenue,CALHAN,CO,80808,39.03601,-104.300351,http://www.yourfsb.com/
Blue Ridge Bank and Trust Co.,4200 Little Blue Parkway,INDEPENDENCE,MO,64057,39.036457,-94.342228,http://www.blueridgebank.net
Century Savings Association of Kansas,5115 Roe Blvd,MISSION,KS,66205,39.036583,-94.639853,
The Valley State Bank,5115 Roe Boulevard,MISSION,KS,66205,39.036583,-94.639853,http://www.valleystatebank.net
Columbia Federal Savings Bank,2497 Dixie Highway,DIXIE,KY,41017,39.036654,-84.560402,
Southwest Bank & Trust,1701 Gage Boulevard,TOPEKA,KS,66604,39.036683,-95.724878,
Lewis County Savings and Loan Company,119 East Second Street,WESTON,WV,26452,39.038292,-80.467249,
Mark Twain Plaza Bank,4901 Main Street,KANSAS CITY,MO,64112,39.038424,-94.587222,
First National Bank of Brighton,Main Street,BRIGHTON,IL,62012,39.03891,-90.14112,
First National Bank of Cape May Court House,1 Main Street,CAPE MAY COURT H,NJ,8210,39.039216,-74.857822,
Community Bank & Trust-Stonewall  National Associa,121 East Third Street,WESTON,WV,26452,39.039415,-80.465452,
Plaza Savings Association,608 Ward Parkway,KANSAS CITY,MO,64112,39.040133,-94.594109,
Saline Valley Bank,101 East Lincoln Avenue,WESTFALL,KS,67455,39.040284,-98.147491,
Congressional Bank,7963 Tuckerman Lane,POTOMAC,MD,20854,39.040402,-77.158177,http://www.congressionalbank.com
United Community Bank Bunker Hill,Main Street,BUNKER HILL,IL,62014,39.0408287,-89.96237946,
Citizens Bank of Weston,201 Main Avenue,WESTON,WV,26452,39.041372,-80.464136,
The Citizens Bank of Weston,201 Main Avenue,WESTON,WV,26452,39.041372,-80.464136,http://www.citizensbankweston.com
Metropolitan National Bank of Maryland,11427 Georgia Avenue,WHEATON,MD,20902,39.0415802,-77.04634857,
Bank of Lake County,150 South Main Street,LAKEPORT,CA,95453,39.041754,-122.915168,
Plaza Bank & Trust Company,118 West 47th Street,KANSAS CITY,MO,64112,39.0423,-94.588738,
First Business Bank of Kansas City  National Assoc,800 West 47th Street,KANSAS CITY,MO,64112,39.04239,-94.596736,
Rockhill Federal Savings and Loan Association of K,4635 Troost Ave,KANSAS CITY,MO,64110,39.042889,-94.572859,
First National Bank of Northern Kentucky,350 Buttermilk Pike,DIXIE,KY,41017,39.043028,-84.571345,
First Bank of Northern Kentucky  Inc.,350 Buttermilk Pike,DIXIE,KY,41017,39.043146,-84.571714,http://www.fbnoky.com
Equitable  Bank,11501 Georgia Ave,WHEATON,MD,20902,39.043194,-77.051965,
Blue Ridge Bank and Trust Co.,4240 Blue Ridge Boulevard,RAYTOWN,MO,64133,39.044211,-94.438703,
Centreville National Bank of Maryland,109 North Commerce Street,CENTREVILLE,MD,21617,39.045167,-76.064593,
The Centreville National Bank of Maryland,109 North Commerce Street,CENTREVILLE,MD,21617,39.045167,-76.064593,http://www.cnbmd.com
Lake Savings and Loan Association,650 North Main Street,LAKEPORT,CA,95453,39.046238,-122.915156,
Sunrise Bank for Savings  F.S.B.,2216 Dixie Highway,DIXIE,KY,41017,39.04715,-84.552043,
South Gate Federal Savings and Loan Association,2216 Dixie Highway,DIXIE,KY,41017,39.04715,-84.552043,
Shawnee Federal Savings and Loan Association,906 Kansas Ave,TOPEKA,KS,66612,39.047219,-95.675282,
Commerce Bank of Independence  National Associatio,18700 East 39th Street,INDEPENDENCE,MO,64055,39.047889,-94.353479,
Topeka Savings Association,800 Quincy Street,TOPEKA,KS,66612,39.048365,-95.673167,
Commerce Towne Bank,824 Kansas Avenue,TOPEKA,KS,66612,39.04843,-95.674761,
Lake Community Bank,805 Eleventh Street,LAKEPORT,CA,95453,39.049022,-122.921749,
John Hanson Savings Bank  FSB,11700 Beltsville Dr,BELTSVILLE,MD,20705,39.049642,-76.93783,
Columbian Bank and Trust Company,701 Kansas Avenue,TOPEKA,KS,66603,39.050205,-95.674067,
The Columbian Bank and Trust Company,701 Kansas Avenue,TOPEKA,KS,66603,39.050205,-95.674067,http://www.columbianbank.com
Capitol Federal Savings Bank,700 Kansas Ave,TOPEKA,KS,66603,39.050205,-95.674067,http://www.capfed.com
Twin-City State Bank,1906 West 43rd Street,ROSEDALE,KS,66103,39.050254,-94.607467,
John Hanson Federal Savings Bank,11700 Beltsville Drive,BELTSVILLE,MD,20705,39.050366,-76.937375,
First Fidelity Bank  FSB,11700 Beltsville Drive,BELTSVILLE,MD,20705,39.050366,-76.937375,
American Bank,12211 Plum Orchard Drive  Suite 300,COLESVILLE,MD,20904,39.050682,-76.956547,http://www.americanfsb.com
VisionBank,712 South Topeka Avenue,TOPEKA,KS,66603,39.051501,-95.679788,http://www.visionbanking.com
Jackson Savings Bank,221 Main Street,JACKSON,OH,45640,39.051722,-82.636597,
General Federal Savings and Loan Association,626 Buttermilk Pike,DIXIE,KY,41017,39.053009,-84.578462,
Bank of Crittenden,U.S. Highway 25,CRITTENDEN,KY,41030,39.053205,-84.538305,
Sturdy Savings Bank,9417 Third Ave,STONE HARBOR,NJ,8247,39.0533371,-74.76204681,http://www.sturdyonline.com
Independent National Bank,96th Street And Second Avenue,STONE HARBOR,NJ,8247,39.05342,-74.75849,
Westport Bank,331 Westport Road,KANSAS CITY,MO,64111,39.053727,-94.589617,
First National Bank of Jackson,160 Broadway,JACKSON,OH,45640,39.053929,-82.631109,
Williamsburg Building and Loan Company,244 West Main Street,WILLIAMSBURG,OH,45176,39.053954,-84.052792,
Oak Hill Banks,14621 State Route 93,JACKSON,OH,45640,39.0543,-82.651606,http://www.oakhillbanks.com
Noland Road Mercantile Bank,3640 South Noland Road,INDEPENDENCE,MO,64055,39.05482,-94.414855,
Harbor Capital National Bank,1776 East Jefferson Street,ROCKVILLE,MD,20852,39.056226,-77.126212,
First Bank of Kansas City,3901 Main Street,KANSAS CITY,MO,64111,39.056491,-94.586106, 
Star Bank  National Association  Aurora,340 Second Street,AURORA,IN,47001,39.056493,-84.900457,
Republic Bank of Kansas City,3838 Main Street,KANSAS CITY,MO,64111,39.05675,-94.586091,
Commercial State Bank of Bonner Springs,309 Oak Street,LAKE OF THE FORE,KS,66012,39.056953,-94.884162,
Farmers State Bank,Second And Main Streets,LUCAS,KS,67648,39.05809,-98.53804,
Suburban Federal Savings and Loan Association,1831-35 Madison Ave,ROUSE,KY,41014,39.05922,-84.502392,
Wesbanco Bank Elizabeth,Court Street,ELIZABETH,WV,26143,39.06006,-81.39715,
GrandBank,1800 Rockville Pike,ROCKVILLE,MD,20852,39.060162,-77.122656,
First National Bank of Dieterich,101 South Main Street,DIETERICH,IL,62424,39.06019,-88.380012,
The First National Bank of Dieterich,101 South Main Street,DIETERICH,IL,62424,39.06019,-88.380012,http://www.primebanc.com
Downstate National Bank,101 West Washington Street,ALTAMONT,IL,62411,39.060674,-88.748456,
Bank One of Pomeroy  N.A.,Court And Second Streets,POMEROY,OH,45769,39.06072998,-82.03314209,
People's Trust Company,1012 U.S. Highway 421,VERSAILLES,IN,47042,39.061115,-85.256448,
American Bank,1700 Rockville Pike,ROCKVILLE,MD,20852,39.061685,-77.124013,
Broadway National Bank of Kansas City,3600 Broadway,KANSAS CITY,MO,64111,39.062076,-94.590451,
First National Bank of Quinter,Main Street,QUINTER,KS,67752,39.06237,-100.23474,
First Union National Bank of Maryland,110 Congressional Lane,ROCKVILLE,MD,20852,39.0633,-77.127721,
Generations Bank,3520 Broadway,KANSAS CITY,MO,64111,39.063445,-94.590384,http://www.generationsbank.com
American Bank,One West Armour Boulevard,KANSAS CITY,MO,64111,39.063802,-94.585776,
Citizens Bank & Trust of Kansas City,3500 Rainbow Boulevard,ROSEDALE,KS,66103,39.064156,-94.613019,
Laurel American Bank,3330 Troost Avenue,KANSAS CITY,MO,64109,39.065766,-94.571558,
Summit Community Bank  Inc,310 North Main Street,RIG,WV,26836,39.066599,-78.969317,http://www.summitcommunitybank.com
Summit Community Bank,310 N. Main Street,RIG,WV,26836,39.066599,-78.969317,
South Branch Valley National Bank of Moorefield,310 North Main Street,RIG,WV,26836,39.066599,-78.969317,
Acme Federal Savings and Loan Association,2040 Madison Ave,ROUSE,KY,41014,39.066634,-84.505788,
Republic Savings Bank  FSB,1401 Rockville Pike,ROCKVILLE,MD,20852,39.066985,-77.128158,
Republic Federal Savings Bank,1401 Rockville Pike,ROCKVILLE,MD,20852,39.066985,-77.128158,
Wells Fargo Bank Grand Junction-Downtown  National,359 Main Street,GRAND JUNCTION,CO,81501,39.067331,-108.566864,
Wells Fargo Bank Grand Junction-Downtown  National Association,359 Main Street,GRAND JUNCTION,CO,81501,39.067331,-108.566864,http://www.wellsfargo.com
Mesa National Bank,131 North Sixth Street,GRAND JUNCTION,CO,81501,39.067656,-108.562762,
Mutual Savings and Loan Association,130 North Fourth Street,GRAND JUNCTION,CO,81501,39.067664,-108.566161,
Home Loan Industrial Bank,145 North Fourth Street,GRAND JUNCTION,CO,81501,39.067777,-108.566161,
Home Loan Industrial Bank,205 N. 4th Street,GRAND JUNCTION,CO,81501,39.06844,-108.566163,http://www.hlic.com
KansasLand Bank,314 Main Street,QUINTER,KS,67752,39.068716,-100.234753, 
Farmers Bank of Petersburg,Main Street,PETERSBURG,KY,41080,39.06894,-84.86575,
Higginsville Savings and Loan Association,720 Fairground Ave,HIGGINSVILLE,MO,64037,39.069271,-93.728224,
Peoples Trust Company,2253 State Road 54 East,LINTON,IN,47441,39.06928,-87.25114,
Central Bank Grand Junction  National Association,422 White Avenue,GRAND JUNCTION,CO,81501,39.069285,-108.565712,
Anderson Bank Company,1075 Nimitzview Drive,ANDERSON,OH,45230,39.069424,-84.353118,http://www.andersonbank.com
Bank of Colorado - Western Slope,200 Grand Avenue,GRAND JUNCTION,CO,81501,39.070372,-108.569298,
The Kaw Valley State Bank and Trust Company,1110 North Kansas Avenue,TOPEKA,KS,66608,39.07049,-95.665248,http://www.kawvalleybank.com
Kaw Valley State Bank and Trust Company,1110 North Kansas Avenue,TOPEKA,KS,66608,39.07049,-95.665248,
American Bank of Higginsville,Main Street,HIGGINSVILLE,MO,64037,39.07050323,-93.71326447,
First State Bank of Higginsville/Odessa,401-415 Fairground Avenue,HIGGINSVILLE,MO,64037,39.070712,-93.72149,
Bank of Montgomery County,125 East Hudson,WELLSVILLE,MO,63384,39.070983,-91.568579,
Superior National Bank,3101 Broadway,KANSAS CITY,MO,64111,39.071182,-94.589951,
Bank of Montgomery County,127 West Hudson,WELLSVILLE,MO,63384,39.071402,-91.569107,http://www.bankwithbmc.com
Cherry Grove Savings Bank,8620 Beechmont Avenue,ANDERSON,OH,45255,39.071914,-84.314742,
Burnett Federal Savings Bank,1607 Eastern Avenue,ROUSE,KY,41014,39.072087,-84.498522,
Cincinnati Savings Association,7373 Beechmont Avenue,ANDERSON,OH,45230,39.072824,-84.3529,
Hebron Deposit Bank,2652 North Bend Road,HEBRON,KY,41048,39.074391,-84.703908,
Industrial State Bank,3201-3219 Strong Avenue,LAKE QUIVIRA,KS,66106,39.074664,-94.700764,http://www.industrialbankkck.com
Argentine Federal Savings,3004 Strong Ave,LAKE QUIVIRA,KS,66106,39.075146,-94.664023, 
Potomac Federal Savings Bank,13401 New Hampshire Avenue,COLESVILLE,MD,20904,39.075914,-77.001813,
Potomac Savings Bank FSB,13401 New Hampshire Avenue,COLESVILLE,MD,20904,39.075914,-77.001813,
The Capon Valley Bank,Main Street,WARDENSVILLE,WV,26851,39.077269,-78.59404,http://www.caponvalleybank.com
Capon Valley Bank,Main Street,WARDENSVILLE,WV,26851,39.077269,-78.59404,
Wells Fargo Bank Grand Junction  National Associat,2808 North Avenue,GRAND JUNCTION,CO,81501,39.077414,-108.532796,
Wells Fargo Bank Grand Junction  National Association,2808 North Avenue,GRAND JUNCTION,CO,81501,39.077414,-108.532796,http://www.wellsfargo.com
First National Bank-North in Grand Junction,2302 North Avenue,GRAND JUNCTION,CO,81501,39.077422,-108.53825,
Modern Federal Savings and Loan Association,235 North Seventh Street,GRAND JUNCTION,CO,81501,39.07832718,-108.5456924,
Bank of Perry,402 Plaza Drive,PERRY,KS,66073,39.078431,-95.390293,
First Security Savings and Loan Association  A Fed,1211 North Seventh Street,GRAND JUNCTION,CO,81501,39.078496,-108.560986,
First Security Savings and Loan Association,1211 N 7th Street,GRAND JUNCTION,CO,81501,39.078496,-108.560986,
Fort Thomas Savings Bank  F.S.B.,25 N Ft Thomas Ave,FORT THOMAS,KY,41075,39.07863235,-84.45233917,
Union Savings and Loan Association,1101 Madison Ave,COVINGTON,KY,41011,39.078878,-84.508908,
American Security Bank  National Association,13711 Connecticut Avenue,ASPEN HILL,MD,20906,39.079,-77.08065,
Fort Thomas-Bellevue Bank,34 North Fort Thomas Avenue,FORT THOMAS,KY,41075,39.079832,-84.448428,
Citizens Bank of Northern Kentucky  Inc.,103 Churchill Drive,SOUTHGATE,KY,41071,39.080606,-84.46695,http://www.cbnk.cc
Citizens Bank of Northern Kentucky  Inc.,103 Churchill Drive And High Rise Drive,SOUTHGATE,KY,41071,39.080606,-84.46695,
Fifth Third Bank of Campbell County  National ,131 North Fort Thomas Avenue,FORT THOMAS,KY,41075,39.08091,-84.449236,
First Virginia Bank of Frederick County,Main And School Streets,STEPHENS CITY,VA,22655,39.08103,-78.22022,
Montgomery Banking and Trust Company,611 Rockville Pike P.O. Box 1507,ROCKVILLE,MD,20852,39.081274,-77.145193,
Capital Bank  National Association,One Church Street,ROCKVILLE,MD,20850,39.082597,-77.144888,http://www.capitalbankmd.com
Capital Bank  National Association,1 Church Street  Suite 400,ROCKVILLE,MD,20850,39.082597,-77.144888,
American Sterling Bank,11206 East Twenty-Four Highway,SUGAR CREEK,MO,64054,39.083233,-94.445978,
Marathon Bank,U.S. Route 11,STEPHENS CITY,VA,22655,39.08341599,-78.19067383,
University National Bank,Monroe Street And Hungerford Drive,ROCKVILLE,MD,20850,39.08354,-77.14683,
Odenton Federal Savings and Loan Association,1219 Annapolis Road,ODENTON,MD,21113,39.083626,-76.692879,
Star Bank  Northern Kentucky,Sixth And Madison Avenue,ROUSE,KY,41014,39.0846,-84.51041,
Fifth Third Bank of Northern Kentucky  Inc.,535 Madison Avenue,COVINGTON,KY,41011,39.084987,-84.510522,
Life Federal Savings and Loan Association,536 Madison Avenue,COVINGTON,KY,41011,39.084993,-84.510523,
Citizens Bank of Maryland,14401 Sweitzer Lane,LAUREL,MD,20707,39.085054,-76.898781,
First Federal Bank for Savings of Northern Kentuck,501 Main Street,COVINGTON,KY,41011,39.085239,-84.51751,
UMB North Plaza State Bank,2014 North Topeka Avenue,TOPEKA,KS,66608,39.085977,-95.665004,
H&R Block Bank,2300 Main Street,KANSAS CITY,MO,64108,39.086503,-94.583988,http://www.hrblockbank.com
Citizens Federal Savings and Loan Association,433 Madison Ave,COVINGTON,KY,41011,39.086564,-84.510902, 
Cape Savings Bank,225 North Main Street,CAPE MAY COURT H,NJ,8210,39.086871,-74.819286,http://www.capesb.com
Bank of Clifton,569 32 Road,CLIFTON,CO,81520,39.087,-108.450031,
County Federal Savings and Loan Association,32 Courthouse Square,ROCKVILLE,MD,20850,39.08703613,-77.16797638,
First National Bank of the Rockies,2452 Highway 6 And 50,GRAND JUNCTION,CO,81505,39.087311,-108.59844,http://www.fnbrockies.com
The First State Bank of Kansas City  Kansas,650 Kansas Avenue,KANSAS CITY,KS,66105,39.087574,-94.624953,http://www.fsbkcks.com
First State Bank of Kansas City  Kansas,650 Kansas Avenue,KANSAS CITY,KS,66105,39.087574,-94.624953,
Alpine Bank  Grand Junction,570 - 32nd Road,CLIFTON,CO,81520,39.087948,-108.459783,
